agent_id,procedure,outcome,condition,rating
A019,Unfair,Loss,Unfair_Loss,5
A019,Unfair,Gain,Unfair_Gain,6
A020,Fair,Loss,Fair_Loss,4
A020,Fair,Gain,Fair_Gain,6
A020,Unfair,Loss,Unfair_Loss,6
A020,Unfair,Gain,Unfair_Gain,6
A021,Fair,Loss,Fair_Loss,3
A021,Fair,Gain,Fair_Gain,6
A021,Unfair,Loss,Unfair_Loss,5
A021,Unfair,Gain,Unfair_Gain,6
A022,Fair,Loss,Fair_Loss,4
A022,Fair,Gain,Fair_Gain,5
A022,Unfair,Loss,Unfair_Loss,6
A022,Unfair,Gain,Unfair_Gain,4
A023,Fair,Loss,Fair_Loss,5
A023,Fair,Gain,Fair_Gain,5
A023,Unfair,Loss,Unfair_Loss,5
A023,Unfair,Gain,Unfair_Gain,5
A024,Fair,Loss,Fair_Loss,4
A024,Fair,Gain,Fair_Gain,4
A024,Unfair,Loss,Unfair_Loss,4
A024,Unfair,Gain,Unfair_Gain,4
A025,Fair,Loss,Fair_Loss,4
A025,Fair,Gain,Fair_Gain,6
A025,Unfair,Loss,Unfair_Loss,5
A025,Unfair,Gain,Unfair_Gain,5
A026,Fair,Loss,Fair_Loss,4
A026,Fair,Gain,Fair_Gain,4
A026,Unfair,Loss,Unfair_Loss,6
A026,Unfair,Gain,Unfair_Gain,5
A027,Fair,Loss,Fair_Loss,4
A027,Fair,Gain,Fair_Gain,5
A027,Unfair,Loss,Unfair_Loss,6
A027,Unfair,Gain,Unfair_Gain,5
A028,Fair,Loss,Fair_Loss,3
A028,Fair,Gain,Fair_Gain,4
A028,Unfair,Loss,Unfair_Loss,5
A028,Unfair,Gain,Unfair_Gain,4
A029,Fair,Loss,Fair_Loss,3
A029,Fair,Gain,Fair_Gain,6
A029,Unfair,Loss,Unfair_Loss,5
A029,Unfair,Gain,Unfair_Gain,6
A030,Fair,Loss,Fair_Loss,4
A030,Fair,Gain,Fair_Gain,6
A030,Unfair,Loss,Unfair_Loss,5
A030,Unfair,Gain,Unfair_Gain,6
A031,Fair,Loss,Fair_Loss,4
A031,Fair,Gain,Fair_Gain,5
A031,Unfair,Loss,Unfair_Loss,5
A031,Unfair,Gain,Unfair_Gain,5
A032,Fair,Loss,Fair_Loss,4
A032,Fair,Gain,Fair_Gain,5
A032,Unfair,Loss,Unfair_Loss,5
A032,Unfair,Gain,Unfair_Gain,5
A033,Fair,Loss,Fair_Loss,4
A033,Fair,Gain,Fair_Gain,5
A033,Unfair,Loss,Unfair_Loss,5
A033,Unfair,Gain,Unfair_Gain,5
A034,Fair,Loss,Fair_Loss,3
A034,Fair,Gain,Fair_Gain,4
A034,Unfair,Loss,Unfair_Loss,5
A034,Unfair,Gain,Unfair_Gain,5
A035,Fair,Loss,Fair_Loss,4
A035,Fair,Gain,Fair_Gain,5
A035,Unfair,Loss,Unfair_Loss,5
A035,Unfair,Gain,Unfair_Gain,5
A036,Fair,Loss,Fair_Loss,4
A036,Fair,Gain,Fair_Gain,6
A036,Unfair,Loss,Unfair_Loss,5
A036,Unfair,Gain,Unfair_Gain,6
A037,Fair,Loss,Fair_Loss,4
A037,Fair,Gain,Fair_Gain,4
A037,Unfair,Loss,Unfair_Loss,5
A037,Unfair,Gain,Unfair_Gain,5
A038,Fair,Loss,Fair_Loss,4
A038,Fair,Gain,Fair_Gain,6
A038,Unfair,Loss,Unfair_Loss,5
A038,Unfair,Gain,Unfair_Gain,5
A039,Fair,Loss,Fair_Loss,4
A039,Fair,Gain,Fair_Gain,4
A039,Unfair,Loss,Unfair_Loss,6
A039,Unfair,Gain,Unfair_Gain,4
A040,Fair,Loss,Fair_Loss,4
A040,Fair,Gain,Fair_Gain,5
A040,Unfair,Loss,Unfair_Loss,5
A040,Unfair,Gain,Unfair_Gain,5
A041,Fair,Loss,Fair_Loss,3
A041,Fair,Gain,Fair_Gain,6
A041,Unfair,Loss,Unfair_Loss,5
A041,Unfair,Gain,Unfair_Gain,6
A042,Fair,Loss,Fair_Loss,4
A042,Fair,Gain,Fair_Gain,5
A042,Unfair,Loss,Unfair_Loss,6
A042,Unfair,Gain,Unfair_Gain,5
A043,Fair,Loss,Fair_Loss,4
A043,Fair,Gain,Fair_Gain,5
A043,Unfair,Loss,Unfair_Loss,5
A043,Unfair,Gain,Unfair_Gain,5
A044,Fair,Loss,Fair_Loss,4
A044,Fair,Gain,Fair_Gain,5
A044,Unfair,Loss,Unfair_Loss,6
A044,Unfair,Gain,Unfair_Gain,6
A045,Fair,Loss,Fair_Loss,4
A045,Fair,Gain,Fair_Gain,5
A045,Unfair,Loss,Unfair_Loss,6
A045,Unfair,Gain,Unfair_Gain,6
A046,Fair,Loss,Fair_Loss,4
A046,Fair,Gain,Fair_Gain,5
A046,Unfair,Loss,Unfair_Loss,6
A046,Unfair,Gain,Unfair_Gain,5
A047,Fair,Loss,Fair_Loss,4
A047,Fair,Gain,Fair_Gain,5
A047,Unfair,Loss,Unfair_Loss,5
A047,Unfair,Gain,Unfair_Gain,5
A048,Fair,Loss,Fair_Loss,4
A048,Fair,Gain,Fair_Gain,5
A048,Unfair,Loss,Unfair_Loss,5
A048,Unfair,Gain,Unfair_Gain,5
A049,Fair,Loss,Fair_Loss,4
A049,Fair,Gain,Fair_Gain,5
A049,Unfair,Loss,Unfair_Loss,6
A049,Unfair,Gain,Unfair_Gain,5
A050,Fair,Loss,Fair_Loss,3
A050,Fair,Gain,Fair_Gain,5
A050,Unfair,Loss,Unfair_Loss,5
A050,Unfair,Gain,Unfair_Gain,5
A051,Fair,Loss,Fair_Loss,4
A051,Fair,Gain,Fair_Gain,4
A051,Unfair,Loss,Unfair_Loss,5
A051,Unfair,Gain,Unfair_Gain,4
A052,Fair,Loss,Fair_Loss,4
A052,Fair,Gain,Fair_Gain,4
A052,Unfair,Loss,Unfair_Loss,5
A052,Unfair,Gain,Unfair_Gain,5
A053,Fair,Loss,Fair_Loss,4
A053,Fair,Gain,Fair_Gain,5
A053,Unfair,Loss,Unfair_Loss,5
A053,Unfair,Gain,Unfair_Gain,5
A054,Fair,Loss,Fair_Loss,4
A054,Fair,Gain,Fair_Gain,5
A054,Unfair,Loss,Unfair_Loss,6
A054,Unfair,Gain,Unfair_Gain,4
A055,Fair,Loss,Fair_Loss,4
A055,Fair,Gain,Fair_Gain,5
A055,Unfair,Loss,Unfair_Loss,6
A055,Unfair,Gain,Unfair_Gain,5
A056,Fair,Loss,Fair_Loss,4
A056,Fair,Gain,Fair_Gain,5
A056,Unfair,Loss,Unfair_Loss,6
A056,Unfair,Gain,Unfair_Gain,6
A057,Fair,Loss,Fair_Loss,3
A057,Fair,Gain,Fair_Gain,5
A057,Unfair,Loss,Unfair_Loss,5
A057,Unfair,Gain,Unfair_Gain,6
A058,Fair,Loss,Fair_Loss,4
A058,Fair,Gain,Fair_Gain,4
A058,Unfair,Loss,Unfair_Loss,5
A058,Unfair,Gain,Unfair_Gain,5
A059,Fair,Loss,Fair_Loss,5
A059,Fair,Gain,Fair_Gain,6
A059,Unfair,Loss,Unfair_Loss,6
A059,Unfair,Gain,Unfair_Gain,6
A060,Fair,Loss,Fair_Loss,4
A060,Fair,Gain,Fair_Gain,6
A060,Unfair,Loss,Unfair_Loss,6
A060,Unfair,Gain,Unfair_Gain,5
A061,Fair,Loss,Fair_Loss,4
A061,Fair,Gain,Fair_Gain,5
A061,Unfair,Loss,Unfair_Loss,5
A061,Unfair,Gain,Unfair_Gain,5
A062,Fair,Loss,Fair_Loss,3
A062,Fair,Gain,Fair_Gain,4
A062,Unfair,Loss,Unfair_Loss,5
A062,Unfair,Gain,Unfair_Gain,4
A063,Fair,Loss,Fair_Loss,4
A063,Fair,Gain,Fair_Gain,4
A063,Unfair,Loss,Unfair_Loss,5
A063,Unfair,Gain,Unfair_Gain,6
A064,Fair,Loss,Fair_Loss,4
A064,Fair,Gain,Fair_Gain,4
A064,Unfair,Loss,Unfair_Loss,6
A064,Unfair,Gain,Unfair_Gain,4
A065,Fair,Loss,Fair_Loss,4
A065,Fair,Gain,Fair_Gain,5
A065,Unfair,Loss,Unfair_Loss,6
A065,Unfair,Gain,Unfair_Gain,5
A066,Fair,Loss,Fair_Loss,4
A066,Fair,Gain,Fair_Gain,5
A066,Unfair,Loss,Unfair_Loss,6
A066,Unfair,Gain,Unfair_Gain,5
A067,Fair,Loss,Fair_Loss,4
A067,Fair,Gain,Fair_Gain,4
A067,Unfair,Loss,Unfair_Loss,4
A067,Unfair,Gain,Unfair_Gain,5
A068,Fair,Loss,Fair_Loss,4
A068,Fair,Gain,Fair_Gain,5
A068,Unfair,Loss,Unfair_Loss,5
A068,Unfair,Gain,Unfair_Gain,5
A069,Fair,Loss,Fair_Loss,4
A069,Fair,Gain,Fair_Gain,6
A069,Unfair,Loss,Unfair_Loss,6
A069,Unfair,Gain,Unfair_Gain,5
A070,Fair,Loss,Fair_Loss,4
A070,Fair,Gain,Fair_Gain,5
A070,Unfair,Loss,Unfair_Loss,6
A070,Unfair,Gain,Unfair_Gain,6
A071,Fair,Loss,Fair_Loss,3
A071,Fair,Gain,Fair_Gain,6
A071,Unfair,Loss,Unfair_Loss,3
A071,Unfair,Gain,Unfair_Gain,5
A072,Fair,Loss,Fair_Loss,4
A072,Fair,Gain,Fair_Gain,5
A072,Unfair,Loss,Unfair_Loss,4
A072,Unfair,Gain,Unfair_Gain,5
A073,Fair,Loss,Fair_Loss,4
A073,Fair,Gain,Fair_Gain,5
A073,Unfair,Loss,Unfair_Loss,6
A073,Unfair,Gain,Unfair_Gain,4
A074,Fair,Loss,Fair_Loss,4
A074,Fair,Gain,Fair_Gain,5
A074,Unfair,Loss,Unfair_Loss,5
A074,Unfair,Gain,Unfair_Gain,6
A075,Fair,Loss,Fair_Loss,4
A075,Fair,Gain,Fair_Gain,5
A075,Unfair,Loss,Unfair_Loss,6
A075,Unfair,Gain,Unfair_Gain,6
A076,Fair,Loss,Fair_Loss,4
A076,Fair,Gain,Fair_Gain,5
A076,Unfair,Loss,Unfair_Loss,6
A076,Unfair,Gain,Unfair_Gain,4
A077,Fair,Loss,Fair_Loss,4
A077,Fair,Gain,Fair_Gain,5
A077,Unfair,Loss,Unfair_Loss,5
A077,Unfair,Gain,Unfair_Gain,5
A078,Fair,Loss,Fair_Loss,6
A078,Fair,Gain,Fair_Gain,5
A078,Unfair,Loss,Unfair_Loss,6
A078,Unfair,Gain,Unfair_Gain,5
A079,Fair,Loss,Fair_Loss,5
A079,Fair,Gain,Fair_Gain,5
A079,Unfair,Loss,Unfair_Loss,6
A079,Unfair,Gain,Unfair_Gain,5
A080,Fair,Loss,Fair_Loss,4
A080,Fair,Gain,Fair_Gain,4
A080,Unfair,Loss,Unfair_Loss,6
A080,Unfair,Gain,Unfair_Gain,4
A081,Fair,Loss,Fair_Loss,4
A081,Fair,Gain,Fair_Gain,5
A081,Unfair,Loss,Unfair_Loss,6
A081,Unfair,Gain,Unfair_Gain,6
A082,Fair,Loss,Fair_Loss,5
A082,Fair,Gain,Fair_Gain,4
A082,Unfair,Loss,Unfair_Loss,6
A082,Unfair,Gain,Unfair_Gain,4
A083,Fair,Loss,Fair_Loss,5
A083,Fair,Gain,Fair_Gain,5
A083,Unfair,Loss,Unfair_Loss,6
A083,Unfair,Gain,Unfair_Gain,4
A084,Fair,Loss,Fair_Loss,4
A084,Fair,Gain,Fair_Gain,4
A084,Unfair,Loss,Unfair_Loss,6
A084,Unfair,Gain,Unfair_Gain,4
A085,Fair,Loss,Fair_Loss,4
A085,Fair,Gain,Fair_Gain,5
A085,Unfair,Loss,Unfair_Loss,6
A085,Unfair,Gain,Unfair_Gain,5
A086,Fair,Loss,Fair_Loss,3
A086,Fair,Gain,Fair_Gain,6
A086,Unfair,Loss,Unfair_Loss,5
A086,Unfair,Gain,Unfair_Gain,6
A087,Fair,Loss,Fair_Loss,3
A087,Fair,Gain,Fair_Gain,5
A087,Unfair,Loss,Unfair_Loss,5
A087,Unfair,Gain,Unfair_Gain,4
A088,Fair,Loss,Fair_Loss,4
A088,Fair,Gain,Fair_Gain,4
A088,Unfair,Loss,Unfair_Loss,5
A088,Unfair,Gain,Unfair_Gain,5
A089,Fair,Loss,Fair_Loss,4
A089,Fair,Gain,Fair_Gain,5
A089,Unfair,Loss,Unfair_Loss,6
A089,Unfair,Gain,Unfair_Gain,6
A090,Fair,Loss,Fair_Loss,5
A090,Fair,Gain,Fair_Gain,3
A090,Unfair,Loss,Unfair_Loss,6
A090,Unfair,Gain,Unfair_Gain,5
A091,Fair,Loss,Fair_Loss,4
A091,Fair,Gain,Fair_Gain,5
A091,Unfair,Loss,Unfair_Loss,6
A091,Unfair,Gain,Unfair_Gain,5
A092,Fair,Loss,Fair_Loss,4
A092,Fair,Gain,Fair_Gain,4
A092,Unfair,Loss,Unfair_Loss,6
A092,Unfair,Gain,Unfair_Gain,4
A093,Fair,Loss,Fair_Loss,4
A093,Fair,Gain,Fair_Gain,6
A093,Unfair,Loss,Unfair_Loss,6
A093,Unfair,Gain,Unfair_Gain,5
A094,Fair,Loss,Fair_Loss,4
A094,Fair,Gain,Fair_Gain,4
A094,Unfair,Loss,Unfair_Loss,6
A094,Unfair,Gain,Unfair_Gain,4
A095,Fair,Loss,Fair_Loss,4
A095,Fair,Gain,Fair_Gain,4
A095,Unfair,Loss,Unfair_Loss,4
A095,Unfair,Gain,Unfair_Gain,5
A096,Fair,Loss,Fair_Loss,4
A096,Fair,Gain,Fair_Gain,4
A096,Unfair,Loss,Unfair_Loss,6
A096,Unfair,Gain,Unfair_Gain,5
A097,Fair,Loss,Fair_Loss,4
A097,Fair,Gain,Fair_Gain,5
A097,Unfair,Loss,Unfair_Loss,5
A097,Unfair,Gain,Unfair_Gain,6
A098,Fair,Loss,Fair_Loss,4
A098,Fair,Gain,Fair_Gain,4
A098,Unfair,Loss,Unfair_Loss,6
A098,Unfair,Gain,Unfair_Gain,5
A099,Fair,Loss,Fair_Loss,5
A099,Fair,Gain,Fair_Gain,4
A099,Unfair,Loss,Unfair_Loss,6
A099,Unfair,Gain,Unfair_Gain,5
A100,Fair,Loss,Fair_Loss,3
A100,Fair,Gain,Fair_Gain,4
A100,Unfair,Loss,Unfair_Loss,3
A100,Unfair,Gain,Unfair_Gain,5
